domain,display_name,generation_seed,trace_pool_size,run_status,metric,logicompgen_mean,logicompgen_median,logicompgen_within_seed_sd,logicompgen_ci95_lower,logicompgen_ci95_upper,gpt5_mini_value,proportion_logicompgen_greater,proportion_logicompgen_greater_or_equal
financial,Financial Services,42,1480,converged,unique_2gram_count,44.3464,44.0,1.6280884826110407,41.0,47.0,15.0,1.0,1.0
financial,Financial Services,42,1480,converged,2gram_novelty_ratio,0.15838,0.15714285714285714,0.005814601723610859,0.14642857142857144,0.16785714285714284,0.09933774834437085,1.0,1.0
financial,Financial Services,42,1480,converged,unique_3gram_count,117.5318,118.0,6.736135859128084,104.0,130.0,28.0,1.0,1.0
financial,Financial Services,42,1480,converged,3gram_novelty_ratio,0.48971583333333335,0.49166666666666664,0.02806723274636702,0.43333333333333335,0.5416666666666666,0.25,1.0,1.0
financial,Financial Services,42,1480,converged,unique_4gram_count,150.3895,151.0,8.022008789106458,134.0,165.0,37.0,1.0,1.0
financial,Financial Services,42,1480,converged,4gram_novelty_ratio,0.7519475,0.755,0.040110043945532296,0.67,0.825,0.49333333333333335,1.0,1.0
financial,Financial Services,42,1480,converged,atc,0.6929125,0.6875,0.02543888254079751,0.640625,0.734375,0.234375,1.0,1.0
financial,Financial Services,123,1400,converged,unique_2gram_count,44.8632,45.0,1.6046629721924266,41.0,48.0,15.0,1.0,1.0
financial,Financial Services,123,1400,converged,2gram_novelty_ratio,0.16022571428571428,0.16071428571428573,0.005730939186401521,0.14642857142857144,0.17142857142857143,0.09933774834437085,1.0,1.0
financial,Financial Services,123,1400,converged,unique_3gram_count,119.1931,119.0,6.606495059235023,106.0,132.0,28.0,1.0,1.0
financial,Financial Services,123,1400,converged,3gram_novelty_ratio,0.4966379166666667,0.49583333333333335,0.027527062746812596,0.44166666666666665,0.55,0.25,1.0,1.0
financial,Financial Services,123,1400,converged,unique_4gram_count,153.2102,154.0,7.901952926081286,137.0,168.0,37.0,1.0,1.0
financial,Financial Services,123,1400,converged,4gram_novelty_ratio,0.766051,0.77,0.03950976463040644,0.685,0.84,0.49333333333333335,1.0,1.0
