domain,display_name,metric,logicompgen_mean_across_generation_seeds,logicompgen_sd_across_generation_seeds,logicompgen_minimum_seed_mean,logicompgen_maximum_seed_mean,gpt5_mini_value,all_seed_means_greater_than_gpt5_mini
financial,Financial Services,unique_2gram_count,44.67823333333333,0.2880068112620466,44.3464,44.8632,15.0,True
financial,Financial Services,2gram_novelty_ratio,0.15956511904761905,0.0010285957545073188,0.15838,0.16022571428571428,0.09933774834437085,True
financial,Financial Services,unique_3gram_count,118.5282,0.8788621109138782,117.5318,119.1931,28.0,True
financial,Financial Services,3gram_novelty_ratio,0.4938675,0.003661925462141162,0.48971583333333335,0.4966379166666667,0.25,True
financial,Financial Services,unique_4gram_count,152.01883333333333,1.4604616473339223,150.3895,153.2102,37.0,True
financial,Financial Services,4gram_novelty_ratio,0.7600941666666666,0.007302308236669659,0.7519475,0.766051,0.49333333333333335,True
financial,Financial Services,atc,0.6980973958333333,0.004500106425969478,0.6929125,0.7009875,0.234375,True
tele_healthcare,Tele-Healthcare,unique_2gram_count,73.49466666666666,0.2712806910440423,73.2558,73.7896,48.0,True
tele_healthcare,Tele-Healthcare,2gram_novelty_ratio,0.26248095238095237,0.0009688596108715857,0.26162785714285713,0.2635342857142857,0.19123505976095617,True
tele_healthcare,Tele-Healthcare,unique_3gram_count,131.02246666666667,0.20893889856446513,130.7855,131.1802,91.0,True
tele_healthcare,Tele-Healthcare,3gram_novelty_ratio,0.5459269444444445,0.000870578744018595,0.5449395833333334,0.5465841666666666,0.4312796208530806,True
tele_healthcare,Tele-Healthcare,unique_4gram_count,146.27063333333334,0.5010157815212386,145.9617,146.8487,118.0,True
tele_healthcare,Tele-Healthcare,4gram_novelty_ratio,0.7313531666666667,0.002505078907606201,0.7298085,0.7342435,0.6900584795321637,True
tele_healthcare,Tele-Healthcare,atc,0.43487968441814595,0.001605211189609718,0.43346627218934913,0.43662485207100593,0.28402366863905326,True
smart_home,Smart Home IoT,unique_2gram_count,97.9177,0.06810513930680916,97.8391,97.9592,51.0,True
smart_home,Smart Home IoT,2gram_novelty_ratio,0.34970607142857146,0.00024323264038146142,0.34942535714285716,0.34985428571428573,0.17465753424657535,True
smart_home,Smart Home IoT,unique_3gram_count,189.50473333333335,0.09076014176571581,189.4036,189.5791,105.0,True
smart_home,Smart Home IoT,3gram_novelty_ratio,0.7896030555555555,0.0003781672573571439,0.7891816666666667,0.7899129166666666,0.4166666666666667,True
smart_home,Smart Home IoT,unique_4gram_count,189.32986666666667,0.10894077901931756,189.2042,189.3976,147.0,True
smart_home,Smart Home IoT,4gram_novelty_ratio,0.9466493333333333,0.0005447038950965061,0.946021,0.9469879999999999,0.6933962264150944,True
smart_home,Smart Home IoT,atc,0.5793946745562131,0.00040298898998111907,0.5789295857988166,0.5796402366863905,0.30177514792899407,True
